,first_response_time,followers,prev_pullreqs,prior_review_num,social_strength,asserts_per_kloc,integrator_availability,open_pr_num,perc_external_contribs,project_age,requester_succ_rate,sloc,team_size,test_cases_per_kloc,test_lines_per_kloc,ci_latency,description_length,num_code_comments,num_code_comments_con,num_comments,num_comments_con,num_participants,part_num_code,churn_addition_open,churn_deletion_open,commits_on_files_touched_open,files_changed_open,num_commits_open,src_churn_open,test_churn_open,churn_addition_close,churn_deletion_close,commits_on_files_touched_close,files_changed_close,num_commits_close,src_churn_close,test_churn_close,churn_addition_change,churn_deletion_change,commits_on_files_touched_change,files_changed_change,num_commits_change,src_churn_change,test_churn_change,lifetime_minutes
contrib_affiliation,0.038956493797671486,0.09451267082023518,0.3808623249685068,0.14484479321985125,0.16909019567591022,0.24259240645578747,0.04484406810717529,0.3419288727884794,0.16264478764028686,0.21055713958969882,0.0825442249318346,0.18580669950314072,0.24029892668480365,0.2708017675634227,0.2539451989871807,0.004204251158011187,0.049856294811439626,0.023516613565453894,0.02200581310020419,0.056493726616432295,0.038534186973139865,0.13400323987663026,0.04866814785589473,0.008285411481406395,0.005424043592198938,0.17257933252249996,0.029727454323233975,0.037592249394776234,0.006449063491945297,0.01935707775527003,0.005331821116384946,0.003496737754479852,0.18894723942592193,0.03082835403251669,0.036060303099238286,0.004046071036754182,0.01757783588228159,0.0006530496709944684,0.0005643876651782028,0.0740367745958321,0.0052025165433527195,0.013405503765003076,0.0005705054220066113,0.003625571230913036,0.02533362716907202
contrib_gender,2.4412695218645398e-05,0.0002572385275438797,0.0015716090181060044,0.00022254974229826346,0.0009355804139511305,0.00013710192385500323,0.0001203509358510609,0.00042828693998174186,0.00015255733603977,4.521884821107801e-05,0.00020883180585778643,5.9661566133336584e-05,0.0003675351646009044,9.008646308187781e-05,0.00024820950119149076,7.900949638789279e-06,1.0836018442281111e-05,2.7895017492703862e-05,1.9772900890534205e-09,1.3313885190433265e-05,8.441795687230039e-05,0.00018128219623521778,5.185523416251031e-05,4.271920461838012e-08,6.755489938375054e-07,0.0004603349403111251,4.718811699605445e-06,9.429644403720541e-05,3.2584019294760156e-07,3.1903917752336294e-06,2.6746169923758846e-07,7.487997883145439e-07,0.0005207873350071123,3.781669249154705e-06,7.579945782609681e-05,4.4766836923172105e-07,4.388055813603112e-06,5.667565119463057e-07,1.0819966571287796e-07,8.700095225143997e-05,8.727565747601238e-09,2.0428467188007977e-06,2.3034994287925228e-07,1.875381743088829e-06,0.00011169627763290726
core_member,0.006770577905983669,0.0016100845001394233,0.05502269758156344,0.0020129181968053314,0.17166712434084735,0.0001378987462240843,0.022936729219960133,3.0735823732538244e-05,0.2212889992548911,0.0003018655239762574,0.26974498720179074,0.0034450013937247326,0.005283423479872063,3.6488194310878226e-05,0.0019993613952868786,0.00013495569216656544,0.0021028529524821605,0.0007304424685318165,0.00127147313415866,1.2517238561773557e-05,0.0004010396227061365,0.0031916627255051118,0.00291391423947835,6.528727981674517e-06,6.690034191670705e-06,0.00851744483415847,0.0005433876584150982,0.00017544337654117387,5.566864677426993e-06,9.010554276989236e-05,2.713814434499329e-06,3.919567692269658e-06,0.008583705949112811,0.0005021810716044092,0.00015615353594757486,1.984777918887778e-06,8.469118468912045e-05,1.4016776136277984e-06,1.6930737894954144e-06,0.0004311425760282734,1.4275404120655286e-05,1.003257130944244e-05,2.164282778053479e-06,5.3409315430805754e-06,0.016940305954010887
first_pr,0.006269090589197266,0.000354546978350419,0.026413645665754104,0.0022793673786635077,0.10161776955145865,0.0010393481398890785,0.014823416007481474,0.0003947155241354259,0.050135794385059065,0.00015276740112987633,0.9602533107523381,0.00228381138765897,0.0026781491629051936,0.0009679511738082578,0.0005569929635755317,0.00016567148211814106,0.00012253295415292606,1.835738112275085e-05,0.00019339378707865446,0.00040852422804435885,3.1412079810112445e-06,0.008588692461586793,0.00012765720777229155,1.5516720407188994e-07,3.7721911192139047e-07,0.005914342941507938,0.00014403410520874723,4.422136955569279e-05,2.869426743876503e-08,2.960161014334912e-05,1.884110427535742e-06,4.205237869760906e-09,0.005843784265761668,0.00010768004431511814,3.419577280670861e-05,1.0883991871694965e-06,2.131034971368662e-05,5.884346819729056e-06,4.109224907350286e-06,0.00022048608972723746,1.82613000123249e-06,3.8663912513555945e-07,5.3753538871612754e-06,1.59536150422546e-07,0.02054412035485956
inte_affiliation,0.03974407761405542,0.06427056596315081,0.23588185212452825,0.34223996225294995,0.16276958875739772,0.33177458945379257,0.05823476859291641,0.5221252674935055,0.2087031476353959,0.26799819310368006,0.07936662618081235,0.1474739508674939,0.41680006601253194,0.31765244219640704,0.31770656647220785,0.003328424609352228,0.026332557444010373,0.023947329260827686,0.02181905216800529,0.04480665828026156,0.0369229295638495,0.11046585022216907,0.04707525726720452,0.006677500129796849,0.0031280845585997734,0.1752063890918437,0.02923130046339271,0.043961281892035485,0.0042275823427385655,0.023708850277789364,0.004330140856250122,0.0023234245868449456,0.1919615970057624,0.029198661821766888,0.04266383582935896,0.0028681043092801907,0.023685731679014603,0.0004451440251876339,0.00046596835871985404,0.07779581857720441,0.0048719712741077965,0.017682141367492264,0.0004026136041354568,0.009336042608349086,0.04901418233003519
same_affiliation,0.0012738640819058987,0.0004101105171627058,0.0007623208490094559,0.028311498982477756,0.007799282100420293,0.00028834022865064567,0.0016173091942385887,0.009731217409854146,0.002819783713871697,0.0068434056124756955,0.010500118924624015,0.014575637968290082,0.016949605064480983,0.00014522231250707257,0.0009960718906237116,4.666611790627365e-05,0.00018967679502860388,0.0017741943095972506,0.0010508551393283436,0.010881696382767569,0.003207821353862484,0.030449274484548528,0.00487376020755743,3.7241158136737915e-05,9.603899825064794e-06,0.0022341454832623658,0.0003217637364218593,0.0010253042017912936,2.2906068160180774e-05,2.0939094627560274e-05,3.0221889568218852e-05,1.0345629848478784e-05,0.0021459226284406547,0.0003281034053499549,0.0010348113545306217,1.900929337836154e-05,1.9549264381617587e-05,1.6534177446675913e-06,1.1826795515187496e-06,4.858567506944677e-05,3.0208313325344e-05,0.00012787670807599385,9.928755023482073e-07,1.0435974738117855e-06,0.0028922749063901862
at_tag,5.157574741262705e-06,1.015563154672334e-05,0.0034016249583964982,0.01729997472863722,0.00028705446767018173,0.0026407707241970463,0.0014027110157527384,0.017872849228735322,9.466095925636727e-05,0.005441572709037163,0.0028399028073166207,0.010813152211800089,0.05200207725400868,0.00036687803282593653,0.004514319413913962,0.0006144575422427378,0.001152634229607541,0.05900227480783078,0.051379476555011364,0.14293814271599162,0.1352211165840369,0.30625659880803546,0.1408439676250822,3.851594489750621e-05,6.580763622847537e-07,0.00023753208009589993,3.825850842052082e-05,0.00012710559980469902,7.061499716745388e-06,0.000156018566085133,0.00012940808760784068,1.6091993472388078e-05,4.413347298823351e-06,0.00044496291299173286,0.004154258809454172,4.301324818955351e-05,0.0004582957765351925,0.00020503058140008482,0.00010986080967726502,0.0028480009560154524,0.001938869137954551,0.01563534058290503,0.00012399993394378883,0.000750082263524731,0.022466819520413163
ci_exists,0.001340418047606289,0.0006049391403502058,0.001073667454161951,0.0001828021443597628,0.010059117539191042,0.024616713708041745,0.00510061180323818,0.002263373778891746,0.006092304834520127,0.02625556465763571,0.003226630376546524,0.001281392906012951,0.0027426871653008725,0.022091219556428066,0.042881096499109664,0.0,0.0022297058065381087,0.0014918107789898163,0.0012363697935287047,0.002342203956903486,0.003299784678537819,0.015268322317384586,0.006452336982997598,7.805595316162841e-05,1.63308128191755e-05,6.936877921612235e-05,0.0006190495265114112,0.0005800698121946747,4.960115848065856e-05,2.9473722096772586e-06,5.4293665931401456e-05,1.4690566752877554e-05,7.999685640970686e-05,0.0005081652868482743,0.00017769770985943438,3.659355152423999e-05,5.878022770750671e-13,3.7829516394637256e-08,1.1731433481547313e-07,1.4130154200240605e-05,1.5216831628654247e-08,0.0002430895131891924,1.2477799799649125e-07,1.550899255658757e-05,6.455000819307072e-05
ci_test_passed,0.0015137998142342479,0.0010588107743007829,0.0005628285136089038,0.0017110726148774971,0.01224346458547691,0.04118872299493353,0.0023209431063799107,0.0003488865325520289,0.0022233878450552847,0.0339216200061903,0.0024743606912240013,0.0031353429524507053,0.002475298001751462,0.0357986716027375,0.060237184575336535,0.0006902147894552863,0.004909153939219309,0.023276985047156654,0.018287726786271524,0.03252543047458588,0.03754647577290135,0.05478588248637521,0.04502739392135347,0.0002599906392941667,0.00011430761133070443,0.0003939547105823776,0.0022449417878602994,0.003619611890240268,0.00017593520073925852,0.0006626056209652118,0.00031226455965931816,0.0001389769211031846,0.0015689576209650723,0.003325606997929219,0.012252887491739185,0.00018754118941718403,0.0013075244762590123,0.00016878469714997786,9.235443964047922e-05,0.0043385341247656126,0.003397574994885718,0.024293208234144395,9.066446028742723e-05,0.0011968918252739406,0.006441540268041576
comment_conflict,0.00025550957087266696,7.248174291021526e-06,0.000396884356515803,0.00041024480878348114,0.00010622698266744878,0.00012986969263743543,2.7396820912399415e-05,0.0002773658002995174,0.00010316156700562657,0.00020831336583406596,0.0004180900915561658,8.859176218494635e-05,0.0008471366288452174,1.4968920066873944e-08,0.00012788263488935017,0.0005759638973450175,0.00016667839611099694,0.02762694300563126,0.02381176413139864,0.05122505038282615,0.05000906485788796,0.03778328880050538,0.024978169039095582,7.309028218796513e-05,1.1943523744889701e-05,0.0002994041727303214,0.00032900982965720677,0.0006251801353732221,3.113403097754953e-05,0.0001883932790469261,0.0002027790267280883,5.7948046531803673e-05,0.0007573912960246672,0.0008928654867226248,0.004064389973401082,0.00010628461799130504,0.0004356170737777356,0.00026860616382940453,0.0002020487450554424,0.0013484542833378293,0.0014659503997035749,0.009464345094231335,0.00020952002605190977,0.0005358720702613647,0.008842795590100781
friday_effect,1.3282254296899912e-06,2.404114043710814e-06,3.2416043684062724e-05,3.205446798766357e-06,3.66585606029788e-05,3.153096819478331e-07,0.0001372821193035608,8.589929237306973e-06,0.00013482498934316368,1.4364484306750838e-05,4.334991767610427e-05,1.8164747126316778e-05,1.6804056937865034e-05,7.440593233833555e-07,7.269360498131103e-06,1.2174037867289747e-06,2.0898228130702604e-05,1.2833237300545313e-06,1.7035878243840049e-06,1.2733387833424503e-07,4.722972512259753e-08,2.663112517177702e-07,2.8122012168801313e-06,1.994831153186373e-06,9.800994942335484e-07,1.429937547894346e-05,7.143322303894341e-06,4.215679375615429e-06,1.5765783261803037e-06,3.1585935338572684e-06,1.5836822016190056e-06,1.088738616113743e-06,1.1797352817058403e-05,6.616795158526014e-06,2.272106117344131e-06,1.3346924390884632e-06,3.1387060796709024e-06,2.4524309071681438e-08,1.758993137110185e-07,1.0118160046558708e-07,1.949950571144274e-07,2.360708543814908e-07,6.791013983255175e-08,3.135997615029115e-07,1.4851972853605471e-09
hash_tag,0.00020262996257482157,6.874500459755599e-05,0.0004191479120143322,0.006734589365152708,0.004444654119577204,0.003687518204676897,0.00052691507136004,0.001657248123774092,0.00026999593065423036,0.004619358154534865,0.000150725146168907,0.0002280310298523804,0.00402712251409526,0.0009928978645129807,0.002905275592523547,5.468469364818997e-05,0.01577680515935332,0.010309270139350568,0.010078890146776612,0.02646216551200498,0.025556627763921168,0.050979102723790956,0.022258540131743377,6.353231760757859e-07,1.944887271571811e-06,6.144408680534738e-05,0.00010723760846794511,2.0088878924033436e-06,2.7530872809595265e-06,1.3959351323819591e-05,2.5374002157713362e-06,1.2583535796143657e-08,4.407254869220795e-06,1.2187761468303919e-05,0.0006767233048504159,1.0522632947014348e-08,6.818891342445885e-05,2.789527805241525e-05,1.4210559689029842e-05,0.0009288189750003657,0.00027834667758050603,0.003824132116654053,1.480502163740535e-05,0.0001702277760836807,0.002294585050893956
reopen_or_not,0.00031622538898996616,3.08414973034653e-05,0.0002591030688786616,0.00024298015383721804,0.0010194438328925272,4.902624828835285e-05,9.25267028404621e-06,0.004137123131305663,0.0007530074544293577,0.0005568548576815224,0.0012844505763788402,8.220260429836673e-06,0.0008626639232343008,2.326725754002363e-06,1.9550302522925097e-05,0.00026508084185167247,5.572301907653403e-06,0.001794303382371452,0.001432503454417222,0.006578430765252112,0.00731695314576282,0.00923171231796885,0.002454157530140703,1.1255000008107996e-05,2.3424412878358095e-07,2.321452629728407e-05,2.3553561884731152e-05,0.00012909515371451496,2.9173489376176056e-06,1.289620455961202e-05,2.6108257135780802e-05,2.357945671824183e-06,1.7666853083946568e-08,0.00011535921733180098,0.0009622223389107068,8.591399959416795e-06,5.5536702936416626e-05,2.8259892430182486e-05,1.2239636892990965e-05,0.00019964523650029814,0.0003255692696391197,0.002387997067106449,1.4843243814076288e-05,0.00012704346940801948,0.0031766471389202758
test_inclusion_open,3.380807871012913e-05,7.443445751834352e-05,6.667284966565125e-05,0.00020853200520263353,0.004088236655651778,0.020728919653122856,0.00021256075448288717,0.00013507612359528974,0.002338885446959167,0.0008442420225182934,0.0017662677615023295,0.0002564056577750757,0.0002532543472965417,0.026022629934591323,0.028415707650796596,3.8680812121913535e-06,7.444961474171845e-05,0.015865328309483503,0.013857223943866766,0.014262185943880649,0.01524703204336144,0.013542036519443234,0.026105386513308848,0.002942726326379284,0.000478892727855942,0.008662516710796597,0.018924904284977062,0.030021442505297,0.0011401661817903974,0.011731075615119366,0.002546082615959378,0.0005148930795971389,0.008011542118102722,0.01820581951291559,0.03072090483352265,0.0009754488857214182,0.011872366537772364,0.0001202969340803484,6.515245221439194e-05,6.789832150755585e-05,0.0008946388835318141,0.0046622309758752025,5.520136263071051e-05,0.0013487194161979049,0.000364338818038774
test_inclusion_close,2.4931210402757387e-05,6.385954250069209e-05,0.00020873166624289482,0.00026457578535687667,0.004341427108591692,0.02498276976523693,0.0002326814061853175,0.00015799555195378768,0.0023483122817146217,0.0009595583304100049,0.0012247307270700266,0.0001869439548984621,0.0002660763283227559,0.030414738018270996,0.031755626465172236,4.131267020564889e-05,5.256413019628958e-05,0.02468192457593398,0.020790075970983223,0.02509932115376456,0.02675552936900303,0.024210806341878447,0.040355347067706084,0.002587862419707071,0.00041828657259955146,0.007544783609147956,0.01638652370295584,0.026567494803018083,0.0010051897808072946,0.01007886524322243,0.0026860636220279533,0.0005414206504424261,0.00993110275244104,0.019633194788937644,0.038321528755142754,0.0010360714386563608,0.012116549297903725,0.000432550635706553,0.0002006457310754535,0.0035797774751832588,0.004789213369313171,0.01806974072979957,0.0002056977730623973,0.0033423394726101157,0.0010653477375582822
same_user,0.002337034693811993,0.0010815084663172432,0.01743263414415581,0.01584504362683911,0.04812313155878003,3.6739547437055047e-05,0.0006705598090100707,0.002772703025828777,0.02129548737297825,0.008065210574270967,0.04371238872095889,0.0002011159153192715,0.0038838903393854218,3.699838338219771e-05,0.0002638083598036171,0.00010337309163312729,1.559839580647074e-05,0.0005721903319837591,0.00012390559928460575,0.0053621264826240085,0.0006937583697271039,0.0203957468738778,0.0014514549548049994,0.00015515803136159447,4.719686545291094e-05,0.003051103182109462,0.00163343014719137,0.0023055535300418534,9.572828294275564e-05,0.00023421222899015765,0.00013356745015402976,4.891895328112109e-05,0.002779000105908684,0.0016486836423415955,0.0017904406731542926,8.155682074716495e-05,0.00022615886079670097,6.003793910289202e-06,4.4884397799402e-06,1.282974998148566e-05,0.00013281209092621025,2.2032022837189813e-05,4.4276316082358335e-06,1.8093037781020416e-05,0.006413656472361895
has_comments,0.0,4.971895745799919e-05,0.005799351150876565,0.005075078379942615,7.570034331337237e-05,0.009502500389325288,0.001153637227818315,0.009656674639191367,1.6054634107912977e-05,0.005669214747627587,0.012240841869311354,0.004868572599362485,0.027973674802806485,0.0033401494520297987,0.013436741227729778,0.0003649950981572229,0.003967668084373313,0.036562078098145046,0.029780084009254932,0.09413774471914674,0.08466256482606137,0.508476099642123,0.1523110827249799,5.496910773298534e-07,2.76557491265055e-06,0.0006895151357293914,2.762118388146861e-05,1.1848207938042322e-07,2.8161931723803458e-06,0.00012978504399609506,2.344459976469624e-05,6.678942830947118e-07,7.670623803617287e-05,5.709976542567984e-05,0.002067853704539322,2.4958049651954215e-06,0.00032074432720856203,9.665861643962357e-05,5.699683831213551e-05,0.002603267511831067,0.001222581785553508,0.010551710067328097,5.912900424564495e-05,0.0004304796335554506,0.014859095330580567
test_inclusion_change,3.4086004991790915e-05,7.444009702467371e-05,0.0003888808347252045,0.00026677439174838634,0.004407493381171696,0.025007001135622483,0.00023437427587670652,0.0001579987568577135,0.0024375728665704402,0.0009610331264198091,0.0018631613409964191,0.0002646409194677581,0.000271063115049906,0.030415638852348832,0.031869590484848255,0.00013950714680770058,7.78783211957407e-05,0.02712526428981977,0.022379888460875255,0.029938988906667012,0.0318486378421138,0.029211824475441343,0.04418380009394581,0.0029471179527461914,0.00047933408065796754,0.008668792044478799,0.01893233207300904,0.03008577529114008,0.0011421474141921138,0.011732351183939381,0.002732633374585568,0.000551409264294918,0.00997203919316121,0.01984580092783512,0.0385175268416371,0.0010517778534847215,0.012483162677054129,0.0008889574356781588,0.00036932898010151263,0.018464432172276727,0.012566451186516822,0.039053479052646556,0.00043309568605242254,0.005207657620034481,0.0018866803472168967
